Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 1	 left	 LineStimuli//allStim/stimNo102r3c2v2.8.jpg	 l	 7.495	 GoodTrial	 allStim	 ra
2	 1	 1	 right	 LineStimuli//allStim/stimNo97r15c18v1.8.jpg	 l	 14.359	 GoodTrial	 allStim	 ra
3	 1	 1	 left	 LineStimuli//allStim/stimNo107r5c4v1.8.jpg	 l	 20.842	 GoodTrial	 allStim	 ra
4	 1	 0	 x	 LineStimuli//allStim/stimNo154r0c0v4.3.jpg	 r	 12.752	 GoodTrial	 allStim	 ra
5	 1	 1	 left	 LineStimuli//allStim/stimNo83r12c4v2.8.jpg	 l	 3.811	 GoodTrial	 allStim	 ra
6	 1	 1	 right	 LineStimuli//allStim/stimNo84r6c16v3.3.jpg	 l	 3.845	 GoodTrial	 allStim	 ra
7	 1	 0	 x	 LineStimuli//allStim/stimNo144r0c0v2.8.jpg	 r	 14.846	 GoodTrial	 allStim	 ra
8	 1	 1	 left	 LineStimuli//allStim/stimNo100r3c3v3.3.jpg	 l	 2.382	 GoodTrial	 allStim	 ra
9	 1	 0	 x	 LineStimuli//allStim/stimNo149r0c0v2.3.jpg	 r	 13.846	 GoodTrial	 allStim	 ra
10	 1	 0	 x	 LineStimuli//allStim/stimNo158r0c0v1.8.jpg	 r	 20.110	 GoodTrial	 allStim	 ra
11	 1	 1	 left	 LineStimuli//allStim/stimNo91r14c4v1.8.jpg	 l	 13.392	 GoodTrial	 allStim	 ra
12	 1	 1	 left	 LineStimuli//allStim/stimNo101r5c5v4.3.jpg	 l	 3.205	 GoodTrial	 allStim	 ra
13	 1	 0	 x	 LineStimuli//allStim/stimNo132r0c0v1.8.jpg	 r	 23.328	 GoodTrial	 allStim	 ra
14	 1	 0	 x	 LineStimuli//allStim/stimNo129r0c0v1.8.jpg	 r	 16.687	 GoodTrial	 allStim	 ra
15	 1	 0	 x	 LineStimuli//allStim/stimNo156r0c0v2.3.jpg	 r	 18.072	 GoodTrial	 allStim	 ra
16	 1	 1	 right	 LineStimuli//allStim/stimNo87r13c19v2.3.jpg	 l	 3.121	 GoodTrial	 allStim	 ra
17	 1	 0	 x	 LineStimuli//allStim/stimNo128r0c0v3.3.jpg	 r	 13.842	 GoodTrial	 allStim	 ra
18	 1	 0	 x	 LineStimuli//allStim/stimNo144r0c0v3.3.jpg	 r	 11.617	 GoodTrial	 allStim	 ra
19	 1	 1	 right	 LineStimuli//allStim/stimNo107r2c19v1.5.jpg	 r	 23.904	 GoodTrial	 allStim	 ra
20	 1	 0	 x	 LineStimuli//allStim/stimNo144r0c0v4.3.jpg	 r	 9.207	 GoodTrial	 allStim	 ra
21	 1	 0	 x	 LineStimuli//allStim/stimNo121r0c0v3.8.jpg	 r	 7.768	 GoodTrial	 allStim	 ra
22	 1	 0	 x	 LineStimuli//allStim/stimNo143r0c0v3.8.jpg	 r	 5.762	 GoodTrial	 allStim	 ra
23	 1	 0	 x	 LineStimuli//allStim/stimNo155r0c0v3.3.jpg	 r	 15.703	 GoodTrial	 allStim	 ra
24	 1	 1	 right	 LineStimuli//allStim/stimNo120r8c20v2.8.jpg	 l	 2.473	 GoodTrial	 allStim	 ra
25	 1	 0	 x	 LineStimuli//allStim/stimNo136r0c0v3.3.jpg	 r	 10.215	 GoodTrial	 allStim	 ra
26	 1	 1	 left	 LineStimuli//allStim/stimNo115r14c10v3.8.jpg	 l	 2.347	 GoodTrial	 allStim	 ra
27	 1	 0	 x	 LineStimuli//allStim/stimNo135r0c0v4.3.jpg	 r	 8.400	 GoodTrial	 allStim	 ra
28	 1	 0	 x	 LineStimuli//allStim/stimNo130r0c0v1.8.jpg	 r	 24.143	 GoodTrial	 allStim	 ra
29	 1	 1	 left	 LineStimuli//allStim/stimNo106r9c9v2.3.jpg	 l	 2.577	 GoodTrial	 allStim	 ra
30	 1	 1	 right	 LineStimuli//allStim/stimNo96r8c18v3.3.jpg	 l	 2.309	 GoodTrial	 allStim	 ra
31	 1	 0	 x	 LineStimuli//allStim/stimNo141r0c0v3.8.jpg	 r	 7.954	 GoodTrial	 allStim	 ra
32	 1	 1	 right	 LineStimuli//allStim/stimNo99r14c18v4.3.jpg	 l	 2.045	 GoodTrial	 allStim	 ra
33	 1	 1	 right	 LineStimuli//allStim/stimNo96r4c19v4.3.jpg	 l	 2.213	 GoodTrial	 allStim	 ra
34	 1	 0	 x	 LineStimuli//allStim/stimNo126r0c0v2.8.jpg	 r	 10.184	 GoodTrial	 allStim	 ra
