Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 0	 x	 LineStimuli//allStim/stimNo155r0c0v2.3.jpg	 r	 3.320	 GoodTrial	 allStim	 ra
2	 1	 0	 x	 LineStimuli//allStim/stimNo137r0c0v1.5.jpg	 r	 4.097	 GoodTrial	 allStim	 ra
3	 1	 1	 left	 LineStimuli//allStim/stimNo98r2c9v3.8.jpg	 l	 1.722	 GoodTrial	 allStim	 ra
4	 1	 0	 x	 LineStimuli//allStim/stimNo158r0c0v4.3.jpg	 r	 1.913	 GoodTrial	 allStim	 ra
5	 1	 0	 x	 LineStimuli//allStim/stimNo124r0c0v4.3.jpg	 r	 2.346	 GoodTrial	 allStim	 ra
6	 1	 1	 left	 LineStimuli//allStim/stimNo88r10c3v4.3.jpg	 l	 1.617	 GoodTrial	 allStim	 ra
7	 1	 1	 right	 LineStimuli//allStim/stimNo88r10c17v3.8.jpg	 l	 1.511	 GoodTrial	 allStim	 ra
8	 1	 0	 x	 LineStimuli//allStim/stimNo149r0c0v1.8.jpg	 r	 3.712	 GoodTrial	 allStim	 ra
9	 1	 0	 x	 LineStimuli//allStim/stimNo130r0c0v3.8.jpg	 r	 2.254	 GoodTrial	 allStim	 ra
10	 1	 0	 x	 LineStimuli//allStim/stimNo141r0c0v1.5.jpg	 r	 3.263	 GoodTrial	 allStim	 ra
11	 1	 0	 x	 LineStimuli//allStim/stimNo125r0c0v2.3.jpg	 r	 3.067	 GoodTrial	 allStim	 ra
12	 1	 0	 x	 LineStimuli//allStim/stimNo153r0c0v3.8.jpg	 r	 2.263	 GoodTrial	 allStim	 ra
13	 1	 0	 x	 LineStimuli//allStim/stimNo154r0c0v3.3.jpg	 r	 2.209	 GoodTrial	 allStim	 ra
14	 1	 0	 x	 LineStimuli//allStim/stimNo158r0c0v2.3.jpg	 r	 3.405	 GoodTrial	 allStim	 ra
15	 1	 1	 right	 LineStimuli//allStim/stimNo84r11c21v1.8.jpg	 l	 1.983	 GoodTrial	 allStim	 ra
16	 1	 0	 x	 LineStimuli//allStim/stimNo139r0c0v3.8.jpg	 r	 2.272	 GoodTrial	 allStim	 ra
17	 1	 0	 x	 LineStimuli//allStim/stimNo127r0c0v4.3.jpg	 r	 2.177	 GoodTrial	 allStim	 ra
18	 1	 1	 right	 LineStimuli//allStim/stimNo100r9c13v1.8.jpg	 l	 1.741	 GoodTrial	 allStim	 ra
19	 1	 0	 x	 LineStimuli//allStim/stimNo154r0c0v2.8.jpg	 r	 2.191	 GoodTrial	 allStim	 ra
20	 1	 1	 right	 LineStimuli//allStim/stimNo115r9c14v2.8.jpg	 l	 1.542	 GoodTrial	 allStim	 ra
21	 1	 1	 left	 LineStimuli//allStim/stimNo106r9c9v2.3.jpg	 l	 1.572	 GoodTrial	 allStim	 ra
22	 1	 1	 right	 LineStimuli//allStim/stimNo114r10c15v4.3.jpg	 l	 1.502	 GoodTrial	 allStim	 ra
23	 1	 1	 right	 LineStimuli//allStim/stimNo92r14c21v2.8.jpg	 l	 1.578	 GoodTrial	 allStim	 ra
24	 1	 0	 x	 LineStimuli//allStim/stimNo156r0c0v1.8.jpg	 r	 3.756	 GoodTrial	 allStim	 ra
25	 1	 0	 x	 LineStimuli//allStim/stimNo123r0c0v2.3.jpg	 r	 2.977	 GoodTrial	 allStim	 ra
26	 1	 1	 right	 LineStimuli//allStim/stimNo87r15c13v3.3.jpg	 l	 1.550	 GoodTrial	 allStim	 ra
