Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 0	 x	 LineStimuli//allStim/stimNo136r0c0v1.5.jpg	 r	 5.950	 GoodTrial	 allStim	 ra
2	 1	 1	 left	 LineStimuli//allStim/stimNo115r7c3v2.3.jpg	 l	 2.018	 GoodTrial	 allStim	 ra
3	 1	 1	 right	 LineStimuli//allStim/stimNo102r10c17v3.8.jpg	 l	 1.677	 GoodTrial	 allStim	 ra
4	 1	 0	 x	 LineStimuli//allStim/stimNo148r0c0v4.3.jpg	 r	 3.262	 GoodTrial	 allStim	 ra
5	 1	 1	 right	 LineStimuli//allStim/stimNo101r8c14v2.3.jpg	 l	 1.906	 GoodTrial	 allStim	 ra
6	 1	 1	 left	 LineStimuli//allStim/stimNo81r6c8v1.8.jpg	 r	 3.336	 GoodTrial	 allStim	 ra
7	 1	 0	 x	 LineStimuli//allStim/stimNo143r0c0v2.8.jpg	 l	 3.229	 GoodTrial	 allStim	 ra
8	 1	 0	 x	 LineStimuli//allStim/stimNo144r0c0v3.8.jpg	 r	 2.912	 GoodTrial	 allStim	 ra
9	 1	 1	 left	 LineStimuli//allStim/stimNo87r11c8v2.8.jpg	 l	 2.749	 GoodTrial	 allStim	 ra
10	 1	 0	 x	 LineStimuli//allStim/stimNo129r0c0v1.8.jpg	 r	 3.656	 GoodTrial	 allStim	 ra
11	 1	 1	 right	 LineStimuli//allStim/stimNo109r2c17v2.3.jpg	 l	 1.769	 GoodTrial	 allStim	 ra
12	 1	 1	 right	 LineStimuli//allStim/stimNo111r7c17v1.5.jpg	 l	 1.880	 GoodTrial	 allStim	 ra
13	 1	 0	 x	 LineStimuli//allStim/stimNo137r0c0v2.3.jpg	 r	 2.971	 GoodTrial	 allStim	 ra
14	 1	 1	 left	 LineStimuli//allStim/stimNo106r9c9v3.3.jpg	 l	 1.848	 GoodTrial	 allStim	 ra
15	 1	 1	 right	 LineStimuli//allStim/stimNo109r7c17v1.8.jpg	 l	 1.584	 GoodTrial	 allStim	 ra
16	 1	 0	 x	 LineStimuli//allStim/stimNo125r0c0v3.8.jpg	 r	 2.133	 GoodTrial	 allStim	 ra
17	 1	 0	 x	 LineStimuli//allStim/stimNo134r0c0v3.8.jpg	 r	 2.085	 GoodTrial	 allStim	 ra
18	 1	 0	 x	 LineStimuli//allStim/stimNo121r0c0v3.3.jpg	 r	 2.228	 GoodTrial	 allStim	 ra
19	 1	 0	 x	 LineStimuli//allStim/stimNo129r0c0v2.3.jpg	 r	 2.665	 GoodTrial	 allStim	 ra
20	 1	 0	 x	 LineStimuli//allStim/stimNo156r0c0v1.8.jpg	 r	 2.609	 GoodTrial	 allStim	 ra
21	 1	 1	 right	 LineStimuli//allStim/stimNo81r8c14v2.8.jpg	 l	 1.660	 GoodTrial	 allStim	 ra
22	 1	 1	 right	 LineStimuli//allStim/stimNo116r10c14v3.3.jpg	 l	 1.744	 GoodTrial	 allStim	 ra
23	 1	 0	 x	 LineStimuli//allStim/stimNo142r0c0v3.3.jpg	 r	 2.667	 GoodTrial	 allStim	 ra
24	 1	 1	 left	 LineStimuli//allStim/stimNo82r12c4v2.3.jpg	 l	 1.557	 GoodTrial	 allStim	 ra
25	 1	 1	 left	 LineStimuli//allStim/stimNo93r3c5v3.3.jpg	 l	 1.568	 GoodTrial	 allStim	 ra
26	 1	 1	 left	 LineStimuli//allStim/stimNo83r4c2v4.3.jpg	 l	 1.588	 GoodTrial	 allStim	 ra
27	 1	 1	 left	 LineStimuli//allStim/stimNo87r14c2v1.8.jpg	 l	 1.734	 GoodTrial	 allStim	 ra
28	 1	 0	 x	 LineStimuli//allStim/stimNo133r0c0v3.8.jpg	 r	 1.839	 GoodTrial	 allStim	 ra
29	 1	 0	 x	 LineStimuli//allStim/stimNo150r0c0v4.3.jpg	 r	 1.822	 GoodTrial	 allStim	 ra
