Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 1	 left	 LineStimuli//allStim/stimNo93r3c5v3.3.jpg	 r	 8.504	 GoodTrial	 allStim	 ra
2	 1	 1	 left	 LineStimuli//allStim/stimNo105r14c6v4.3.jpg	 l	 9.995	 GoodTrial	 allStim	 ra
3	 1	 1	 left	 LineStimuli//allStim/stimNo81r4c3v2.3.jpg	 l	 10.111	 GoodTrial	 allStim	 ra
4	 1	 1	 left	 LineStimuli//allStim/stimNo119r9c8v3.8.jpg	 l	 9.449	 GoodTrial	 allStim	 ra
5	 1	 1	 left	 LineStimuli//allStim/stimNo106r8c2v4.3.jpg	 l	 3.384	 GoodTrial	 allStim	 ra
6	 1	 0	 x	 LineStimuli//allStim/stimNo139r0c0v1.5.jpg	 r	 28.042	 GoodTrial	 allStim	 ra
7	 1	 1	 right	 LineStimuli//allStim/stimNo84r9c19v3.8.jpg	 l	 2.424	 GoodTrial	 allStim	 ra
8	 1	 0	 x	 LineStimuli//allStim/stimNo140r0c0v3.3.jpg	 l	 2.336	 GoodTrial	 allStim	 ra
9	 1	 0	 x	 LineStimuli//allStim/stimNo139r0c0v2.3.jpg	 r	 19.544	 GoodTrial	 allStim	 ra
10	 1	 0	 x	 LineStimuli//allStim/stimNo129r0c0v3.8.jpg	 r	 5.678	 GoodTrial	 allStim	 ra
11	 1	 1	 left	 LineStimuli//allStim/stimNo97r3c3v2.3.jpg	 l	 3.129	 GoodTrial	 allStim	 ra
12	 1	 0	 x	 LineStimuli//allStim/stimNo143r0c0v3.3.jpg	 r	 13.962	 GoodTrial	 allStim	 ra
13	 1	 1	 left	 LineStimuli//allStim/stimNo85r3c5v4.3.jpg	 l	 2.027	 GoodTrial	 allStim	 ra
14	 1	 1	 left	 LineStimuli//allStim/stimNo98r2c9v3.8.jpg	 l	 1.841	 GoodTrial	 allStim	 ra
15	 1	 0	 x	 LineStimuli//allStim/stimNo137r0c0v2.8.jpg	 r	 4.266	 GoodTrial	 allStim	 ra
16	 1	 0	 x	 LineStimuli//allStim/stimNo143r0c0v3.8.jpg	 r	 6.263	 GoodTrial	 allStim	 ra
17	 1	 0	 x	 LineStimuli//allStim/stimNo139r0c0v4.3.jpg	 r	 5.512	 GoodTrial	 allStim	 ra
18	 1	 0	 x	 LineStimuli//allStim/stimNo155r0c0v2.3.jpg	 r	 13.228	 GoodTrial	 allStim	 ra
19	 1	 1	 left	 LineStimuli//allStim/stimNo90r2c9v3.3.jpg	 l	 2.068	 GoodTrial	 allStim	 ra
20	 1	 1	 right	 LineStimuli//allStim/stimNo92r14c21v2.8.jpg	 l	 2.631	 GoodTrial	 allStim	 ra
21	 1	 1	 right	 LineStimuli//allStim/stimNo118r9c20v1.5.jpg	 r	 10.823	 GoodTrial	 allStim	 ra
22	 1	 0	 x	 LineStimuli//allStim/stimNo148r0c0v1.5.jpg	 r	 16.914	 GoodTrial	 allStim	 ra
23	 1	 0	 x	 LineStimuli//allStim/stimNo132r0c0v1.8.jpg	 r	 13.727	 GoodTrial	 allStim	 ra
24	 1	 1	 right	 LineStimuli//allStim/stimNo103r3c19v2.8.jpg	 l	 2.346	 GoodTrial	 allStim	 ra
25	 1	 1	 right	 LineStimuli//allStim/stimNo99r6c17v3.3.jpg	 l	 2.048	 GoodTrial	 allStim	 ra
26	 1	 0	 x	 LineStimuli//allStim/stimNo142r0c0v3.3.jpg	 r	 3.775	 GoodTrial	 allStim	 ra
27	 1	 0	 x	 LineStimuli//allStim/stimNo150r0c0v3.8.jpg	 r	 3.944	 GoodTrial	 allStim	 ra
28	 1	 0	 x	 LineStimuli//allStim/stimNo127r0c0v2.3.jpg	 r	 8.039	 GoodTrial	 allStim	 ra
29	 1	 0	 x	 LineStimuli//allStim/stimNo131r0c0v3.3.jpg	 r	 5.371	 GoodTrial	 allStim	 ra
30	 1	 0	 x	 LineStimuli//allStim/stimNo125r0c0v1.5.jpg	 r	 10.446	 GoodTrial	 allStim	 ra
31	 1	 0	 x	 LineStimuli//allStim/stimNo142r0c0v2.8.jpg	 r	 6.362	 GoodTrial	 allStim	 ra
32	 1	 0	 x	 LineStimuli//allStim/stimNo159r0c0v2.3.jpg	 r	 8.783	 GoodTrial	 allStim	 ra
33	 1	 1	 right	 LineStimuli//allStim/stimNo101r5c20v1.5.jpg	 r	 6.940	 GoodTrial	 allStim	 ra
34	 1	 0	 x	 LineStimuli//allStim/stimNo128r0c0v2.8.jpg	 r	 10.071	 GoodTrial	 allStim	 ra
35	 1	 0	 x	 LineStimuli//allStim/stimNo142r0c0v1.5.jpg	 r	 16.280	 GoodTrial	 allStim	 ra
36	 1	 0	 x	 LineStimuli//allStim/stimNo131r0c0v3.8.jpg	 x	 0.056	 EARLY_RESPONSE	 allStim	 ra
37	 1	 1	 left	 LineStimuli//allStim/stimNo93r9c9v4.3.jpg	 l	 2.736	 GoodTrial	 allStim	 ra
38	 1	 0	 x	 LineStimuli//allStim/stimNo159r0c0v2.8.jpg	 r	 7.877	 GoodTrial	 allStim	 ra
39	 1	 1	 right	 LineStimuli//allStim/stimNo112r10c16v4.3.jpg	 l	 2.048	 GoodTrial	 allStim	 ra
40	 1	 1	 right	 LineStimuli//allStim/stimNo96r2c13v3.8.jpg	 l	 1.576	 GoodTrial	 allStim	 ra
41	 1	 0	 x	 LineStimuli//allStim/stimNo138r0c0v2.8.jpg	 r	 9.069	 GoodTrial	 allStim	 ra
42	 1	 0	 x	 LineStimuli//allStim/stimNo128r0c0v3.8.jpg	 r	 3.184	 GoodTrial	 allStim	 ra
43	 1	 0	 x	 LineStimuli//allStim/stimNo126r0c0v2.8.jpg	 r	 3.916	 GoodTrial	 allStim	 ra
44	 1	 0	 x	 LineStimuli//allStim/stimNo137r0c0v1.8.jpg	 r	 5.357	 GoodTrial	 allStim	 ra
45	 1	 0	 x	 LineStimuli//allStim/stimNo139r0c0v2.8.jpg	 r	 3.388	 GoodTrial	 allStim	 ra
46	 1	 1	 right	 LineStimuli//allStim/stimNo112r12c16v3.8.jpg	 l	 1.720	 GoodTrial	 allStim	 ra
47	 1	 1	 right	 LineStimuli//allStim/stimNo84r6c16v3.3.jpg	 l	 1.613	 GoodTrial	 allStim	 ra
48	 1	 0	 x	 LineStimuli//allStim/stimNo134r0c0v3.8.jpg	 r	 2.664	 GoodTrial	 allStim	 ra
49	 1	 0	 x	 LineStimuli//allStim/stimNo153r0c0v3.8.jpg	 r	 3.878	 GoodTrial	 allStim	 ra
50	 1	 1	 right	 LineStimuli//allStim/stimNo91r10c16v3.8.jpg	 l	 1.653	 GoodTrial	 allStim	 ra
1	 2	 1	 right	 LineStimuli//allStim/stimNo118r3c16v3.3.jpg	 l	 1.845	 GoodTrial	 allStim	 ra
2	 2	 0	 x	 LineStimuli//allStim/stimNo135r0c0v1.5.jpg	 r	 5.424	 GoodTrial	 allStim	 ra
3	 2	 0	 x	 LineStimuli//allStim/stimNo144r0c0v3.8.jpg	 r	 2.461	 GoodTrial	 allStim	 ra
4	 2	 0	 x	 LineStimuli//allStim/stimNo129r0c0v4.3.jpg	 r	 2.326	 GoodTrial	 allStim	 ra
5	 2	 1	 left	 LineStimuli//allStim/stimNo100r13c6v3.8.jpg	 l	 1.726	 GoodTrial	 allStim	 ra
6	 2	 0	 x	 LineStimuli//allStim/stimNo158r0c0v1.8.jpg	 r	 2.442	 GoodTrial	 allStim	 ra
