Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 1	 left	 LineStimuli//allStim/stimNo106r3c7v1.5.jpg	 l	 3.511	 GoodTrial	 allStim	 ra
2	 1	 0	 x	 LineStimuli//allStim/stimNo150r0c0v2.3.jpg	 r	 3.425	 GoodTrial	 allStim	 ra
3	 1	 1	 right	 LineStimuli//allStim/stimNo115r10c18v4.3.jpg	 l	 1.608	 GoodTrial	 allStim	 ra
4	 1	 1	 left	 LineStimuli//allStim/stimNo110r6c7v4.3.jpg	 l	 1.624	 GoodTrial	 allStim	 ra
5	 1	 0	 x	 LineStimuli//allStim/stimNo153r0c0v4.3.jpg	 r	 2.004	 GoodTrial	 allStim	 ra
6	 1	 0	 x	 LineStimuli//allStim/stimNo139r0c0v2.3.jpg	 r	 2.876	 GoodTrial	 allStim	 ra
7	 1	 1	 right	 LineStimuli//allStim/stimNo90r13c21v2.8.jpg	 l	 2.391	 GoodTrial	 allStim	 ra
8	 1	 0	 x	 LineStimuli//allStim/stimNo139r0c0v2.8.jpg	 r	 2.480	 GoodTrial	 allStim	 ra
9	 1	 0	 x	 LineStimuli//allStim/stimNo129r0c0v2.8.jpg	 r	 2.296	 GoodTrial	 allStim	 ra
10	 1	 1	 left	 LineStimuli//allStim/stimNo94r14c9v3.3.jpg	 l	 2.085	 GoodTrial	 allStim	 ra
11	 1	 0	 x	 LineStimuli//allStim/stimNo150r0c0v4.3.jpg	 r	 2.071	 GoodTrial	 allStim	 ra
12	 1	 0	 x	 LineStimuli//allStim/stimNo144r0c0v2.8.jpg	 r	 3.776	 GoodTrial	 allStim	 ra
13	 1	 0	 x	 LineStimuli//allStim/stimNo158r0c0v1.8.jpg	 r	 4.403	 GoodTrial	 allStim	 ra
14	 1	 0	 x	 LineStimuli//allStim/stimNo137r0c0v1.5.jpg	 r	 7.016	 GoodTrial	 allStim	 ra
15	 1	 1	 left	 LineStimuli//allStim/stimNo83r4c2v4.3.jpg	 l	 1.756	 GoodTrial	 allStim	 ra
16	 1	 1	 left	 LineStimuli//allStim/stimNo118r4c8v3.8.jpg	 l	 1.614	 GoodTrial	 allStim	 ra
