Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 0	 x	 LineStimuli//allStim/stimNo135r0c0v1.8.jpg	 r	 11.768	 GoodTrial	 allStim	 ra
2	 1	 1	 left	 LineStimuli//allStim/stimNo94r14c9v3.3.jpg	 l	 3.031	 GoodTrial	 allStim	 ra
3	 1	 0	 x	 LineStimuli//allStim/stimNo133r0c0v4.3.jpg	 r	 2.855	 GoodTrial	 allStim	 ra
4	 1	 1	 right	 LineStimuli//allStim/stimNo107r2c17v3.3.jpg	 r	 2.292	 GoodTrial	 allStim	 ra
5	 1	 1	 left	 LineStimuli//allStim/stimNo89r12c4v2.8.jpg	 l	 2.066	 GoodTrial	 allStim	 ra
6	 1	 0	 x	 LineStimuli//allStim/stimNo136r0c0v2.8.jpg	 r	 2.233	 GoodTrial	 allStim	 ra
7	 1	 1	 left	 LineStimuli//allStim/stimNo95r15c8v3.3.jpg	 l	 1.678	 GoodTrial	 allStim	 ra
8	 1	 1	 left	 LineStimuli//allStim/stimNo120r14c9v1.8.jpg	 l	 2.305	 GoodTrial	 allStim	 ra
9	 1	 1	 left	 LineStimuli//allStim/stimNo113r9c5v2.8.jpg	 l	 1.700	 GoodTrial	 allStim	 ra
10	 1	 0	 x	 LineStimuli//allStim/stimNo127r0c0v4.3.jpg	 r	 2.057	 GoodTrial	 allStim	 ra
11	 1	 0	 x	 LineStimuli//allStim/stimNo153r0c0v3.8.jpg	 r	 2.808	 GoodTrial	 allStim	 ra
12	 1	 1	 left	 LineStimuli//allStim/stimNo88r15c9v1.8.jpg	 r	 3.006	 GoodTrial	 allStim	 ra
13	 1	 0	 x	 LineStimuli//allStim/stimNo146r0c0v1.8.jpg	 r	 4.825	 GoodTrial	 allStim	 ra
14	 1	 1	 right	 LineStimuli//allStim/stimNo92r10c18v1.8.jpg	 r	 2.978	 GoodTrial	 allStim	 ra
15	 1	 0	 x	 LineStimuli//allStim/stimNo146r0c0v4.3.jpg	 r	 2.454	 GoodTrial	 allStim	 ra
16	 1	 1	 left	 LineStimuli//allStim/stimNo100r13c6v3.8.jpg	 l	 1.959	 GoodTrial	 allStim	 ra
17	 1	 1	 right	 LineStimuli//allStim/stimNo114r10c14v3.8.jpg	 l	 2.510	 GoodTrial	 allStim	 ra
18	 1	 0	 x	 LineStimuli//allStim/stimNo146r0c0v3.3.jpg	 r	 3.740	 GoodTrial	 allStim	 ra
19	 1	 1	 left	 LineStimuli//allStim/stimNo98r3c8v4.3.jpg	 l	 1.546	 GoodTrial	 allStim	 ra
20	 1	 1	 right	 LineStimuli//allStim/stimNo105r3c18v1.5.jpg	 l	 3.252	 GoodTrial	 allStim	 ra
21	 1	 1	 right	 LineStimuli//allStim/stimNo120r8c18v4.3.jpg	 l	 1.679	 GoodTrial	 allStim	 ra
22	 1	 1	 left	 LineStimuli//allStim/stimNo103r11c7v3.8.jpg	 l	 1.623	 GoodTrial	 allStim	 ra
23	 1	 0	 x	 LineStimuli//allStim/stimNo121r0c0v4.3.jpg	 r	 2.915	 GoodTrial	 allStim	 ra
24	 1	 0	 x	 LineStimuli//allStim/stimNo157r0c0v1.8.jpg	 r	 5.866	 GoodTrial	 allStim	 ra
25	 1	 1	 left	 LineStimuli//allStim/stimNo95r4c9v1.8.jpg	 l	 5.389	 GoodTrial	 allStim	 ra
26	 1	 1	 right	 LineStimuli//allStim/stimNo96r2c13v3.8.jpg	 l	 2.360	 GoodTrial	 allStim	 ra
27	 1	 0	 x	 LineStimuli//allStim/stimNo159r0c0v3.3.jpg	 r	 5.576	 GoodTrial	 allStim	 ra
28	 1	 1	 right	 LineStimuli//allStim/stimNo109r15c15v4.3.jpg	 l	 1.937	 GoodTrial	 allStim	 ra
29	 1	 1	 left	 LineStimuli//allStim/stimNo106r9c9v3.3.jpg	 l	 1.755	 GoodTrial	 allStim	 ra
30	 1	 1	 right	 LineStimuli//allStim/stimNo99r2c13v3.8.jpg	 l	 1.718	 GoodTrial	 allStim	 ra
31	 1	 1	 right	 LineStimuli//allStim/stimNo101r8c14v2.3.jpg	 l	 1.948	 GoodTrial	 allStim	 ra
32	 1	 1	 right	 LineStimuli//allStim/stimNo101r4c13v1.8.jpg	 l	 1.657	 GoodTrial	 allStim	 ra
33	 1	 1	 left	 LineStimuli//allStim/stimNo104r15c2v4.3.jpg	 l	 1.727	 GoodTrial	 allStim	 ra
34	 1	 0	 x	 LineStimuli//allStim/stimNo155r0c0v2.3.jpg	 r	 5.943	 GoodTrial	 allStim	 ra
35	 1	 1	 left	 LineStimuli//allStim/stimNo84r3c9v2.8.jpg	 l	 1.609	 GoodTrial	 allStim	 ra
36	 1	 0	 x	 LineStimuli//allStim/stimNo125r0c0v3.3.jpg	 r	 3.936	 GoodTrial	 allStim	 ra
37	 1	 1	 right	 LineStimuli//allStim/stimNo96r4c19v4.3.jpg	 l	 1.720	 GoodTrial	 allStim	 ra
38	 1	 0	 x	 LineStimuli//allStim/stimNo142r0c0v4.3.jpg	 r	 3.328	 GoodTrial	 allStim	 ra
39	 1	 0	 x	 LineStimuli//allStim/stimNo158r0c0v3.3.jpg	 r	 4.566	 GoodTrial	 allStim	 ra
40	 1	 1	 left	 LineStimuli//allStim/stimNo94r8c9v2.3.jpg	 r	 4.689	 GoodTrial	 allStim	 ra
41	 1	 0	 x	 LineStimuli//allStim/stimNo140r0c0v1.8.jpg	 r	 6.790	 GoodTrial	 allStim	 ra
42	 1	 0	 x	 LineStimuli//allStim/stimNo121r0c0v3.3.jpg	 r	 6.823	 GoodTrial	 allStim	 ra
43	 1	 1	 left	 LineStimuli//allStim/stimNo117r11c8v2.3.jpg	 l	 3.552	 GoodTrial	 allStim	 ra
44	 1	 1	 left	 LineStimuli//allStim/stimNo85r2c5v1.5.jpg	 r	 8.738	 GoodTrial	 allStim	 ra
45	 1	 0	 x	 LineStimuli//allStim/stimNo131r0c0v3.8.jpg	 r	 7.202	 GoodTrial	 allStim	 ra
46	 1	 1	 left	 LineStimuli//allStim/stimNo94r13c7v2.8.jpg	 l	 2.418	 GoodTrial	 allStim	 ra
47	 1	 1	 right	 LineStimuli//allStim/stimNo84r11c21v1.8.jpg	 l	 2.946	 GoodTrial	 allStim	 ra
48	 1	 1	 right	 LineStimuli//allStim/stimNo113r13c15v3.3.jpg	 l	 2.460	 GoodTrial	 allStim	 ra
49	 1	 1	 left	 LineStimuli//allStim/stimNo109r8c6v1.5.jpg	 r	 11.672	 GoodTrial	 allStim	 ra
50	 1	 1	 left	 LineStimuli//allStim/stimNo104r2c4v2.3.jpg	 x	 0.727	 EARLY_RESPONSE	 allStim	 ra
1	 2	 0	 x	 LineStimuli//allStim/stimNo134r0c0v2.3.jpg	 r	 6.674	 GoodTrial	 allStim	 ra
2	 2	 1	 right	 LineStimuli//allStim/stimNo117r10c21v4.3.jpg	 l	 1.828	 GoodTrial	 allStim	 ra
