Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 0	 x	 LineStimuli//allStim/stimNo142r0c0v2.3.jpg	 x	 0.000	 GoodTrial	 allStim	 ra
2	 1	 1	 right	 LineStimuli//allStim/stimNo112r6c15v1.8.jpg	 r	 11.894	 GoodTrial	 allStim	 ra
3	 1	 1	 right	 LineStimuli//allStim/stimNo84r3c18v1.5.jpg	 r	 25.933	 GoodTrial	 allStim	 ra
4	 1	 1	 left	 LineStimuli//allStim/stimNo107r2c8v4.3.jpg	 l	 2.937	 GoodTrial	 allStim	 ra
5	 1	 1	 left	 LineStimuli//allStim/stimNo101r5c5v4.3.jpg	 l	 2.187	 GoodTrial	 allStim	 ra
6	 1	 0	 x	 LineStimuli//allStim/stimNo147r0c0v3.8.jpg	 r	 21.683	 GoodTrial	 allStim	 ra
7	 1	 1	 left	 LineStimuli//allStim/stimNo95r4c9v1.8.jpg	 r	 29.439	 GoodTrial	 allStim	 ra
8	 1	 1	 left	 LineStimuli//allStim/stimNo103r15c10v1.8.jpg	 l	 4.138	 GoodTrial	 allStim	 ra
9	 1	 0	 x	 LineStimuli//allStim/stimNo123r0c0v2.8.jpg	 r	 23.845	 GoodTrial	 allStim	 ra
10	 1	 1	 left	 LineStimuli//allStim/stimNo105r6c5v1.8.jpg	 l	 7.391	 GoodTrial	 allStim	 ra
11	 1	 1	 right	 LineStimuli//allStim/stimNo96r4c19v4.3.jpg	 l	 2.000	 GoodTrial	 allStim	 ra
12	 1	 0	 x	 LineStimuli//allStim/stimNo125r0c0v4.3.jpg	 r	 7.846	 GoodTrial	 allStim	 ra
13	 1	 1	 right	 LineStimuli//allStim/stimNo102r10c17v3.8.jpg	 l	 2.192	 GoodTrial	 allStim	 ra
14	 1	 0	 x	 LineStimuli//allStim/stimNo135r0c0v4.3.jpg	 r	 5.744	 GoodTrial	 allStim	 ra
15	 1	 0	 x	 LineStimuli//allStim/stimNo158r0c0v4.3.jpg	 r	 6.079	 GoodTrial	 allStim	 ra
16	 1	 0	 x	 LineStimuli//allStim/stimNo130r0c0v4.3.jpg	 r	 5.175	 GoodTrial	 allStim	 ra
17	 1	 0	 x	 LineStimuli//allStim/stimNo144r0c0v4.3.jpg	 r	 7.881	 GoodTrial	 allStim	 ra
18	 1	 1	 right	 LineStimuli//allStim/stimNo109r7c17v1.8.jpg	 l	 2.973	 GoodTrial	 allStim	 ra
