Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 0	 x	 LineStimuli//3.3/stimNo141r0c0v3.3.jpg	 r	 10.662	 GoodTrial	 allStim	 si
2	 1	 0	 x	 LineStimuli//3.8/stimNo142r0c0v3.8.jpg	 r	 7.430	 GoodTrial	 allStim	 si
3	 1	 0	 x	 LineStimuli//4.3/stimNo143r0c0v4.3.jpg	 r	 10.287	 GoodTrial	 allStim	 si
4	 1	 0	 x	 LineStimuli//4.3/stimNo160r0c0v4.3.jpg	 r	 7.517	 GoodTrial	 allStim	 si
5	 1	 1	 right	 LineStimuli//3.8/stimNo102r10c17v3.8.jpg	 l	 1.802	 GoodTrial	 allStim	 si
6	 1	 1	 left	 LineStimuli//3.3/stimNo117r2c5v3.3.jpg	 l	 2.461	 GoodTrial	 allStim	 si
7	 1	 0	 x	 LineStimuli//2.8/stimNo151r0c0v2.8.jpg	 r	 4.258	 GoodTrial	 allStim	 si
8	 1	 0	 x	 LineStimuli//2.3/stimNo133r0c0v2.3.jpg	 r	 3.140	 GoodTrial	 allStim	 si
9	 1	 0	 x	 LineStimuli//1.8/stimNo123r0c0v1.8.jpg	 r	 9.247	 GoodTrial	 allStim	 si
10	 1	 1	 right	 LineStimuli//1.5/stimNo104r5c18v1.5.jpg	 r	 8.598	 GoodTrial	 allStim	 si
11	 1	 0	 x	 LineStimuli//1.5/stimNo133r0c0v1.5.jpg	 r	 7.304	 GoodTrial	 allStim	 si
12	 1	 0	 x	 LineStimuli//1.8/stimNo130r0c0v1.8.jpg	 r	 4.684	 GoodTrial	 allStim	 si
13	 1	 0	 x	 LineStimuli//2.3/stimNo155r0c0v2.3.jpg	 r	 4.386	 GoodTrial	 allStim	 si
14	 1	 0	 x	 LineStimuli//2.8/stimNo133r0c0v2.8.jpg	 r	 5.103	 GoodTrial	 allStim	 si
15	 1	 0	 x	 LineStimuli//3.3/stimNo158r0c0v3.3.jpg	 r	 4.115	 GoodTrial	 allStim	 si
16	 1	 0	 x	 LineStimuli//3.8/stimNo147r0c0v3.8.jpg	 r	 3.736	 GoodTrial	 allStim	 si
17	 1	 1	 left	 LineStimuli//4.3/stimNo100r8c3v4.3.jpg	 l	 1.823	 GoodTrial	 allStim	 si
18	 1	 1	 left	 LineStimuli//4.3/stimNo103r10c4v4.3.jpg	 l	 1.595	 GoodTrial	 allStim	 si
19	 1	 0	 x	 LineStimuli//3.8/stimNo136r0c0v3.8.jpg	 r	 2.430	 GoodTrial	 allStim	 si
