Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 1	 right	 LineStimuli//3.3/stimNo91r12c16v3.3.jpg	 r	 2.256	 GoodTrial	 allStim	 si
2	 1	 0	 x	 LineStimuli//3.8/stimNo123r0c0v3.8.jpg	 r	 2.667	 GoodTrial	 allStim	 si
3	 1	 0	 x	 LineStimuli//4.3/stimNo158r0c0v4.3.jpg	 r	 2.022	 GoodTrial	 allStim	 si
4	 1	 1	 left	 LineStimuli//4.3/stimNo105r14c6v4.3.jpg	 l	 1.824	 GoodTrial	 allStim	 si
5	 1	 1	 right	 LineStimuli//3.8/stimNo101r12c17v3.8.jpg	 l	 1.920	 GoodTrial	 allStim	 si
6	 1	 1	 right	 LineStimuli//3.3/stimNo89r5c21v3.3.jpg	 r	 1.838	 GoodTrial	 allStim	 si
7	 1	 0	 x	 LineStimuli//2.8/stimNo122r0c0v2.8.jpg	 r	 2.011	 GoodTrial	 allStim	 si
8	 1	 1	 left	 LineStimuli//2.3/stimNo94r8c9v2.3.jpg	 l	 1.484	 GoodTrial	 allStim	 si
9	 1	 1	 right	 LineStimuli//1.8/stimNo102r14c17v1.8.jpg	 l	 1.608	 GoodTrial	 allStim	 si
10	 1	 1	 left	 LineStimuli//1.5/stimNo99r10c3v1.5.jpg	 l	 1.538	 GoodTrial	 allStim	 si
11	 1	 0	 x	 LineStimuli//1.5/stimNo147r0c0v1.5.jpg	 l	 1.482	 GoodTrial	 allStim	 si
12	 1	 1	 left	 LineStimuli//1.8/stimNo95r4c9v1.8.jpg	 r	 1.864	 GoodTrial	 allStim	 si
13	 1	 0	 x	 LineStimuli//2.3/stimNo160r0c0v2.3.jpg	 l	 1.565	 GoodTrial	 allStim	 si
14	 1	 1	 right	 LineStimuli//2.8/stimNo111r9c15v2.8.jpg	 r	 1.830	 GoodTrial	 allStim	 si
15	 1	 1	 right	 LineStimuli//3.3/stimNo82r11c20v3.3.jpg	 l	 1.672	 GoodTrial	 allStim	 si
16	 1	 0	 x	 LineStimuli//3.8/stimNo155r0c0v3.8.jpg	 l	 2.040	 GoodTrial	 allStim	 si
17	 1	 0	 x	 LineStimuli//4.3/stimNo151r0c0v4.3.jpg	 l	 2.144	 GoodTrial	 allStim	 si
18	 1	 1	 left	 LineStimuli//4.3/stimNo86r7c3v4.3.jpg	 r	 1.812	 GoodTrial	 allStim	 si
19	 1	 1	 left	 LineStimuli//3.8/stimNo83r9c9v3.8.jpg	 l	 1.682	 GoodTrial	 allStim	 si
20	 1	 1	 right	 LineStimuli//3.3/stimNo91r12c16v3.3.jpg	 l	 1.769	 GoodTrial	 allStim	 si
21	 1	 0	 x	 LineStimuli//2.8/stimNo159r0c0v2.8.jpg	 r	 2.625	 GoodTrial	 allStim	 si
22	 1	 1	 left	 LineStimuli//2.3/stimNo82r12c4v2.3.jpg	 l	 1.698	 GoodTrial	 allStim	 si
23	 1	 1	 right	 LineStimuli//1.8/stimNo82r7c18v1.8.jpg	 l	 2.497	 GoodTrial	 allStim	 si
24	 1	 0	 x	 LineStimuli//1.5/stimNo130r0c0v1.5.jpg	 l	 1.714	 GoodTrial	 allStim	 si
25	 1	 0	 x	 LineStimuli//1.5/stimNo137r0c0v1.5.jpg	 r	 3.212	 GoodTrial	 allStim	 si
