Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 0	 x	 LineStimuli//3.3/stimNo150r0c0v3.3.jpg	 r	 2.015	 GoodTrial	 allStim	 si
2	 1	 1	 left	 LineStimuli//3.8/stimNo89r10c7v3.8.jpg	 l	 1.590	 GoodTrial	 allStim	 si
3	 1	 1	 right	 LineStimuli//4.3/stimNo99r14c18v4.3.jpg	 l	 1.507	 GoodTrial	 allStim	 si
4	 1	 0	 x	 LineStimuli//4.3/stimNo151r0c0v4.3.jpg	 r	 1.676	 GoodTrial	 allStim	 si
5	 1	 1	 left	 LineStimuli//3.8/stimNo83r9c9v3.8.jpg	 l	 1.528	 GoodTrial	 allStim	 si
6	 1	 1	 left	 LineStimuli//3.3/stimNo106r9c9v3.3.jpg	 l	 1.546	 GoodTrial	 allStim	 si
7	 1	 1	 right	 LineStimuli//2.8/stimNo120r8c20v2.8.jpg	 l	 1.478	 GoodTrial	 allStim	 si
8	 1	 0	 x	 LineStimuli//2.3/stimNo136r0c0v2.3.jpg	 r	 2.682	 GoodTrial	 allStim	 si
9	 1	 1	 right	 LineStimuli//1.8/stimNo114r8c13v1.8.jpg	 l	 1.638	 GoodTrial	 allStim	 si
10	 1	 1	 right	 LineStimuli//1.5/stimNo101r5c20v1.5.jpg	 r	 2.163	 GoodTrial	 allStim	 si
11	 1	 0	 x	 LineStimuli//1.5/stimNo135r0c0v1.5.jpg	 r	 2.154	 GoodTrial	 allStim	 si
12	 1	 0	 x	 LineStimuli//1.8/stimNo150r0c0v1.8.jpg	 r	 2.098	 GoodTrial	 allStim	 si
13	 1	 0	 x	 LineStimuli//2.3/stimNo132r0c0v2.3.jpg	 r	 1.849	 GoodTrial	 allStim	 si
14	 1	 0	 x	 LineStimuli//2.8/stimNo159r0c0v2.8.jpg	 r	 1.942	 GoodTrial	 allStim	 si
15	 1	 0	 x	 LineStimuli//3.3/stimNo135r0c0v3.3.jpg	 r	 1.754	 GoodTrial	 allStim	 si
16	 1	 1	 left	 LineStimuli//3.8/stimNo93r8c2v3.8.jpg	 l	 1.584	 GoodTrial	 allStim	 si
17	 1	 1	 left	 LineStimuli//4.3/stimNo107r2c8v4.3.jpg	 l	 1.654	 GoodTrial	 allStim	 si
18	 1	 0	 x	 LineStimuli//4.3/stimNo135r0c0v4.3.jpg	 r	 2.095	 GoodTrial	 allStim	 si
19	 1	 1	 right	 LineStimuli//3.8/stimNo107r9c18v3.8.jpg	 l	 1.416	 GoodTrial	 allStim	 si
20	 1	 1	 right	 LineStimuli//3.3/stimNo91r12c16v3.3.jpg	 l	 1.518	 GoodTrial	 allStim	 si
21	 1	 1	 right	 LineStimuli//2.8/stimNo92r14c21v2.8.jpg	 l	 1.545	 GoodTrial	 allStim	 si
22	 1	 0	 x	 LineStimuli//2.3/stimNo125r0c0v2.3.jpg	 r	 2.104	 GoodTrial	 allStim	 si
23	 1	 0	 x	 LineStimuli//1.8/stimNo153r0c0v1.8.jpg	 r	 2.582	 GoodTrial	 allStim	 si
