Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 1	 left	 LineStimuli//3.3/stimNo85r6c4v3.3.jpg	 l	 2.193	 GoodTrial	 allStim	 si
2	 1	 0	 x	 LineStimuli//3.8/stimNo158r0c0v3.8.jpg	 r	 3.080	 GoodTrial	 allStim	 si
3	 1	 0	 x	 LineStimuli//4.3/stimNo148r0c0v4.3.jpg	 r	 2.473	 GoodTrial	 allStim	 si
4	 1	 1	 right	 LineStimuli//4.3/stimNo96r4c19v4.3.jpg	 l	 1.692	 GoodTrial	 allStim	 si
5	 1	 0	 x	 LineStimuli//3.8/stimNo125r0c0v3.8.jpg	 r	 2.051	 GoodTrial	 allStim	 si
6	 1	 1	 left	 LineStimuli//3.3/stimNo81r15c8v3.3.jpg	 l	 1.697	 GoodTrial	 allStim	 si
7	 1	 0	 x	 LineStimuli//2.8/stimNo139r0c0v2.8.jpg	 r	 2.042	 GoodTrial	 allStim	 si
8	 1	 0	 x	 LineStimuli//2.3/stimNo160r0c0v2.3.jpg	 r	 1.841	 GoodTrial	 allStim	 si
9	 1	 1	 left	 LineStimuli//1.8/stimNo113r6c7v1.8.jpg	 l	 2.363	 GoodTrial	 allStim	 si
10	 1	 0	 x	 LineStimuli//1.5/stimNo122r0c0v1.5.jpg	 r	 4.595	 GoodTrial	 allStim	 si
11	 1	 1	 left	 LineStimuli//1.5/stimNo88r6c7v1.5.jpg	 r	 5.297	 GoodTrial	 allStim	 si
12	 1	 1	 left	 LineStimuli//1.8/stimNo105r6c5v1.8.jpg	 l	 2.197	 GoodTrial	 allStim	 si
13	 1	 1	 right	 LineStimuli//2.3/stimNo99r2c13v2.3.jpg	 l	 1.697	 GoodTrial	 allStim	 si
14	 1	 1	 left	 LineStimuli//2.8/stimNo86r15c6v2.8.jpg	 l	 1.741	 GoodTrial	 allStim	 si
15	 1	 0	 x	 LineStimuli//3.3/stimNo135r0c0v3.3.jpg	 r	 3.223	 GoodTrial	 allStim	 si
