Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 0	 x	 LineStimuli//3.3/stimNo152r0c0v3.3.jpg	 r	 5.701	 GoodTrial	 3.3	 bl
2	 1	 0	 x	 LineStimuli//3.3/stimNo138r0c0v3.3.jpg	 r	 3.193	 GoodTrial	 3.3	 bl
3	 1	 0	 x	 LineStimuli//3.3/stimNo134r0c0v3.3.jpg	 r	 2.756	 GoodTrial	 3.3	 bl
4	 1	 0	 x	 LineStimuli//3.3/stimNo156r0c0v3.3.jpg	 r	 2.588	 GoodTrial	 3.3	 bl
5	 1	 1	 left	 LineStimuli//3.3/stimNo104r4c4v3.3.jpg	 l	 2.251	 GoodTrial	 3.3	 bl
6	 1	 1	 left	 LineStimuli//3.3/stimNo93r3c5v3.3.jpg	 l	 2.257	 GoodTrial	 3.3	 bl
7	 1	 0	 x	 LineStimuli//3.3/stimNo139r0c0v3.3.jpg	 r	 2.408	 GoodTrial	 3.3	 bl
8	 1	 0	 x	 LineStimuli//3.3/stimNo128r0c0v3.3.jpg	 r	 1.625	 GoodTrial	 3.3	 bl
9	 1	 0	 x	 LineStimuli//3.3/stimNo130r0c0v3.3.jpg	 r	 1.802	 GoodTrial	 3.3	 bl
10	 1	 0	 x	 LineStimuli//3.3/stimNo147r0c0v3.3.jpg	 r	 1.670	 GoodTrial	 3.3	 bl
11	 1	 1	 left	 LineStimuli//3.3/stimNo117r2c5v3.3.jpg	 l	 1.623	 GoodTrial	 3.3	 bl
12	 1	 0	 x	 LineStimuli//3.3/stimNo146r0c0v3.3.jpg	 r	 2.472	 GoodTrial	 3.3	 bl
13	 1	 1	 left	 LineStimuli//3.3/stimNo94r14c9v3.3.jpg	 l	 1.844	 GoodTrial	 3.3	 bl
14	 1	 1	 left	 LineStimuli//3.3/stimNo110r4c3v3.3.jpg	 l	 1.763	 GoodTrial	 3.3	 bl
15	 1	 1	 left	 LineStimuli//3.3/stimNo81r15c8v3.3.jpg	 l	 1.720	 GoodTrial	 3.3	 bl
16	 1	 0	 x	 LineStimuli//3.3/stimNo141r0c0v3.3.jpg	 r	 2.953	 GoodTrial	 3.3	 bl
17	 1	 0	 x	 LineStimuli//3.3/stimNo122r0c0v3.3.jpg	 r	 1.881	 GoodTrial	 3.3	 bl
18	 1	 0	 x	 LineStimuli//3.3/stimNo160r0c0v3.3.jpg	 r	 1.772	 GoodTrial	 3.3	 bl
19	 1	 0	 x	 LineStimuli//3.3/stimNo155r0c0v3.3.jpg	 r	 1.657	 GoodTrial	 3.3	 bl
20	 1	 1	 right	 LineStimuli//3.3/stimNo82r11c20v3.3.jpg	 l	 1.885	 GoodTrial	 3.3	 bl
21	 1	 0	 x	 LineStimuli//3.3/stimNo149r0c0v3.3.jpg	 r	 2.367	 GoodTrial	 3.3	 bl
22	 1	 1	 right	 LineStimuli//3.3/stimNo107r2c17v3.3.jpg	 l	 3.422	 GoodTrial	 3.3	 bl
23	 1	 0	 x	 LineStimuli//3.3/stimNo158r0c0v3.3.jpg	 r	 2.794	 GoodTrial	 3.3	 bl
24	 1	 1	 right	 LineStimuli//3.3/stimNo120r8c14v3.3.jpg	 l	 1.828	 GoodTrial	 3.3	 bl
25	 1	 0	 x	 LineStimuli//3.3/stimNo135r0c0v3.3.jpg	 r	 2.079	 GoodTrial	 3.3	 bl
26	 1	 0	 x	 LineStimuli//3.3/stimNo124r0c0v3.3.jpg	 r	 1.780	 GoodTrial	 3.3	 bl
27	 1	 0	 x	 LineStimuli//3.3/stimNo159r0c0v3.3.jpg	 r	 1.657	 GoodTrial	 3.3	 bl
28	 1	 1	 left	 LineStimuli//3.3/stimNo106r9c9v3.3.jpg	 l	 1.614	 GoodTrial	 3.3	 bl
29	 1	 1	 left	 LineStimuli//3.3/stimNo85r6c4v3.3.jpg	 l	 1.651	 GoodTrial	 3.3	 bl
30	 1	 0	 x	 LineStimuli//3.3/stimNo136r0c0v3.3.jpg	 r	 1.823	 GoodTrial	 3.3	 bl
31	 1	 1	 left	 LineStimuli//3.3/stimNo86r5c7v3.3.jpg	 l	 1.810	 GoodTrial	 3.3	 bl
32	 1	 0	 x	 LineStimuli//3.3/stimNo143r0c0v3.3.jpg	 r	 2.588	 GoodTrial	 3.3	 bl
33	 1	 1	 left	 LineStimuli//3.3/stimNo108r13c2v3.3.jpg	 l	 1.924	 GoodTrial	 3.3	 bl
34	 1	 0	 x	 LineStimuli//3.3/stimNo157r0c0v3.3.jpg	 r	 2.174	 GoodTrial	 3.3	 bl
35	 1	 0	 x	 LineStimuli//3.3/stimNo150r0c0v3.3.jpg	 r	 1.638	 GoodTrial	 3.3	 bl
36	 1	 0	 x	 LineStimuli//3.3/stimNo127r0c0v3.3.jpg	 r	 1.657	 GoodTrial	 3.3	 bl
37	 1	 0	 x	 LineStimuli//3.3/stimNo153r0c0v3.3.jpg	 r	 3.186	 GoodTrial	 3.3	 bl
