Trial	Block	Target_pr	Target_side	Name	Key	RT	Message	Block_Type	Condition
1	 1	 0	 x	 LineStimuli//1.8/stimNo125r0c0v1.8.jpg	 r	 3.509	 GoodTrial	 1.8	 bl
2	 1	 1	 left	 LineStimuli//1.8/stimNo115r5c9v1.8.jpg	 l	 3.391	 GoodTrial	 1.8	 bl
3	 1	 1	 right	 LineStimuli//1.8/stimNo109r7c17v1.8.jpg	 r	 2.095	 GoodTrial	 1.8	 bl
4	 1	 1	 right	 LineStimuli//1.8/stimNo97r15c18v1.8.jpg	 r	 2.534	 GoodTrial	 1.8	 bl
5	 1	 0	 x	 LineStimuli//1.8/stimNo147r0c0v1.8.jpg	 r	 2.699	 GoodTrial	 1.8	 bl
6	 1	 0	 x	 LineStimuli//1.8/stimNo126r0c0v1.8.jpg	 r	 3.818	 GoodTrial	 1.8	 bl
7	 1	 1	 right	 LineStimuli//1.8/stimNo119r3c21v1.8.jpg	 l	 1.789	 GoodTrial	 1.8	 bl
8	 1	 1	 left	 LineStimuli//1.8/stimNo96r13c2v1.8.jpg	 l	 1.755	 GoodTrial	 1.8	 bl
9	 1	 0	 x	 LineStimuli//1.8/stimNo159r0c0v1.8.jpg	 r	 2.475	 GoodTrial	 1.8	 bl
10	 1	 1	 left	 LineStimuli//1.8/stimNo87r14c2v1.8.jpg	 l	 2.525	 GoodTrial	 1.8	 bl
11	 1	 1	 left	 LineStimuli//1.8/stimNo120r14c9v1.8.jpg	 l	 1.792	 GoodTrial	 1.8	 bl
12	 1	 0	 x	 LineStimuli//1.8/stimNo143r0c0v1.8.jpg	 r	 2.967	 GoodTrial	 1.8	 bl
13	 1	 1	 left	 LineStimuli//1.8/stimNo95r4c9v1.8.jpg	 r	 2.428	 GoodTrial	 1.8	 bl
14	 1	 0	 x	 LineStimuli//1.8/stimNo127r0c0v1.8.jpg	 r	 3.824	 GoodTrial	 1.8	 bl
15	 1	 1	 right	 LineStimuli//1.8/stimNo118r11c15v1.8.jpg	 l	 1.970	 GoodTrial	 1.8	 bl
16	 1	 0	 x	 LineStimuli//1.8/stimNo136r0c0v1.8.jpg	 r	 3.364	 GoodTrial	 1.8	 bl
17	 1	 1	 left	 LineStimuli//1.8/stimNo105r6c5v1.8.jpg	 l	 1.764	 GoodTrial	 1.8	 bl
18	 1	 0	 x	 LineStimuli//1.8/stimNo124r0c0v1.8.jpg	 r	 3.952	 GoodTrial	 1.8	 bl
19	 1	 0	 x	 LineStimuli//1.8/stimNo148r0c0v1.8.jpg	 r	 3.071	 GoodTrial	 1.8	 bl
20	 1	 0	 x	 LineStimuli//1.8/stimNo135r0c0v1.8.jpg	 r	 2.360	 GoodTrial	 1.8	 bl
21	 1	 0	 x	 LineStimuli//1.8/stimNo122r0c0v1.8.jpg	 r	 2.617	 GoodTrial	 1.8	 bl
22	 1	 0	 x	 LineStimuli//1.8/stimNo152r0c0v1.8.jpg	 r	 2.411	 GoodTrial	 1.8	 bl
23	 1	 1	 left	 LineStimuli//1.8/stimNo81r6c8v1.8.jpg	 r	 2.478	 GoodTrial	 1.8	 bl
24	 1	 0	 x	 LineStimuli//1.8/stimNo140r0c0v1.8.jpg	 r	 3.526	 GoodTrial	 1.8	 bl
25	 1	 1	 right	 LineStimuli//1.8/stimNo117r10c16v1.8.jpg	 r	 2.745	 GoodTrial	 1.8	 bl
26	 1	 0	 x	 LineStimuli//1.8/stimNo154r0c0v1.8.jpg	 r	 4.415	 GoodTrial	 1.8	 bl
27	 1	 1	 left	 LineStimuli//1.8/stimNo98r15c5v1.8.jpg	 l	 1.672	 GoodTrial	 1.8	 bl
28	 1	 0	 x	 LineStimuli//1.8/stimNo145r0c0v1.8.jpg	 r	 2.136	 GoodTrial	 1.8	 bl
29	 1	 1	 right	 LineStimuli//1.8/stimNo82r7c18v1.8.jpg	 r	 2.796	 GoodTrial	 1.8	 bl
30	 1	 1	 left	 LineStimuli//1.8/stimNo89r11c6v1.8.jpg	 l	 1.760	 GoodTrial	 1.8	 bl
31	 1	 0	 x	 LineStimuli//1.8/stimNo129r0c0v1.8.jpg	 r	 2.911	 GoodTrial	 1.8	 bl
32	 1	 0	 x	 LineStimuli//1.8/stimNo134r0c0v1.8.jpg	 r	 3.008	 GoodTrial	 1.8	 bl
33	 1	 1	 left	 LineStimuli//1.8/stimNo110r4c7v1.8.jpg	 r	 2.387	 GoodTrial	 1.8	 bl
34	 1	 0	 x	 LineStimuli//1.8/stimNo138r0c0v1.8.jpg	 r	 3.450	 GoodTrial	 1.8	 bl
35	 1	 0	 x	 LineStimuli//1.8/stimNo151r0c0v1.8.jpg	 r	 3.209	 GoodTrial	 1.8	 bl
36	 1	 1	 right	 LineStimuli//1.8/stimNo83r6c13v1.8.jpg	 l	 2.864	 GoodTrial	 1.8	 bl
37	 1	 1	 left	 LineStimuli//1.8/stimNo91r14c4v1.8.jpg	 l	 2.671	 GoodTrial	 1.8	 bl
38	 1	 0	 x	 LineStimuli//1.8/stimNo131r0c0v1.8.jpg	 r	 4.741	 GoodTrial	 1.8	 bl
39	 1	 0	 x	 LineStimuli//1.8/stimNo149r0c0v1.8.jpg	 r	 4.177	 GoodTrial	 1.8	 bl
40	 1	 1	 left	 LineStimuli//1.8/stimNo116r4c7v1.8.jpg	 l	 4.529	 GoodTrial	 1.8	 bl
41	 1	 0	 x	 LineStimuli//1.8/stimNo156r0c0v1.8.jpg	 r	 3.817	 GoodTrial	 1.8	 bl
42	 1	 0	 x	 LineStimuli//1.8/stimNo146r0c0v1.8.jpg	 r	 3.568	 GoodTrial	 1.8	 bl
43	 1	 1	 right	 LineStimuli//1.8/stimNo114r8c13v1.8.jpg	 l	 3.431	 GoodTrial	 1.8	 bl
44	 1	 1	 left	 LineStimuli//1.8/stimNo94r13c8v1.8.jpg	 l	 2.004	 GoodTrial	 1.8	 bl
45	 1	 1	 left	 LineStimuli//1.8/stimNo106r13c9v1.8.jpg	 l	 2.349	 GoodTrial	 1.8	 bl
46	 1	 0	 x	 LineStimuli//1.8/stimNo155r0c0v1.8.jpg	 r	 3.089	 GoodTrial	 1.8	 bl
47	 1	 1	 right	 LineStimuli//1.8/stimNo92r10c18v1.8.jpg	 l	 2.079	 GoodTrial	 1.8	 bl
48	 1	 1	 left	 LineStimuli//1.8/stimNo88r15c9v1.8.jpg	 l	 1.757	 GoodTrial	 1.8	 bl
49	 1	 1	 right	 LineStimuli//1.8/stimNo102r14c17v1.8.jpg	 l	 1.678	 GoodTrial	 1.8	 bl
50	 1	 1	 left	 LineStimuli//1.8/stimNo86r14c4v1.8.jpg	 l	 1.896	 GoodTrial	 1.8	 bl
1	 2	 0	 x	 LineStimuli//2.3/stimNo124r0c0v2.3.jpg	 r	 3.149	 GoodTrial	 2.3	 bl
2	 2	 1	 right	 LineStimuli//2.3/stimNo85r4c15v2.3.jpg	 l	 2.170	 GoodTrial	 2.3	 bl
3	 2	 1	 right	 LineStimuli//2.3/stimNo84r15c14v2.3.jpg	 l	 2.120	 GoodTrial	 2.3	 bl
4	 2	 0	 x	 LineStimuli//2.3/stimNo152r0c0v2.3.jpg	 r	 3.498	 GoodTrial	 2.3	 bl
5	 2	 1	 left	 LineStimuli//2.3/stimNo112r3c2v2.3.jpg	 l	 2.347	 GoodTrial	 2.3	 bl
6	 2	 0	 x	 LineStimuli//2.3/stimNo156r0c0v2.3.jpg	 r	 3.125	 GoodTrial	 2.3	 bl
7	 2	 0	 x	 LineStimuli//2.3/stimNo149r0c0v2.3.jpg	 r	 3.083	 GoodTrial	 2.3	 bl
8	 2	 0	 x	 LineStimuli//2.3/stimNo147r0c0v2.3.jpg	 r	 2.512	 GoodTrial	 2.3	 bl
9	 2	 1	 left	 LineStimuli//2.3/stimNo97r3c3v2.3.jpg	 l	 2.200	 GoodTrial	 2.3	 bl
10	 2	 1	 right	 LineStimuli//2.3/stimNo90r14c21v2.3.jpg	 l	 1.773	 GoodTrial	 2.3	 bl
11	 2	 0	 x	 LineStimuli//2.3/stimNo133r0c0v2.3.jpg	 r	 2.672	 GoodTrial	 2.3	 bl
12	 2	 0	 x	 LineStimuli//2.3/stimNo148r0c0v2.3.jpg	 r	 3.355	 GoodTrial	 2.3	 bl
13	 2	 1	 left	 LineStimuli//2.3/stimNo106r9c9v2.3.jpg	 l	 1.563	 GoodTrial	 2.3	 bl
14	 2	 1	 left	 LineStimuli//2.3/stimNo117r11c8v2.3.jpg	 l	 1.625	 GoodTrial	 2.3	 bl
